Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,all_symptoms
Laryngitis,nasal_obstruction,fever,facial_pain,fluid_discharge,irritability,fatigue,itchy_throat,loss_of_smell,"['nasal_obstruction', 'fever', 'facial_pain', 'fluid_discharge', 'irritability', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,sore_throat,tinnitus,headache,dry_cough,nausea,postnasal_drip,ear_tugging,loss_of_smell,"['sore_throat', 'tinnitus', 'headache', 'dry_cough', 'nausea', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Otitis Media,vertigo,crusting_in_nose,facial_pain,disturbed_sleep,irritability,breathing_difficulty,postnasal_drip,loss_of_smell,"['vertigo', 'crusting_in_nose', 'facial_pain', 'disturbed_sleep', 'irritability', 'breathing_difficulty', 'postnasal_drip', 'loss_of_smell']"
Epistaxis,ear_pain,crusting_in_nose,sore_throat,facial_pain,irritability,white_patches_throat,loss_of_balance,loss_of_smell,"['ear_pain', 'crusting_in_nose', 'sore_throat', 'facial_pain', 'irritability', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,nasal_congestion,recurrent_sinus_infections,fever,facial_pain,nasal_congestion,breathing_difficulty,headache,loss_of_smell,"['nasal_congestion', 'recurrent_sinus_infections', 'fever', 'facial_pain', 'nasal_congestion', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Epistaxis,nasal_congestion,headache,hearing_difficulty,fluid_discharge,snoring,postnasal_drip,headache,loss_of_smell,"['nasal_congestion', 'headache', 'hearing_difficulty', 'fluid_discharge', 'snoring', 'postnasal_drip', 'headache', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,headache,facial_pain,dry_cough,throat_irritation,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'headache', 'facial_pain', 'dry_cough', 'throat_irritation', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,ringing_in_ears,difficulty_swallowing,hearing_difficulty,fluid_discharge,nausea,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'difficulty_swallowing', 'hearing_difficulty', 'fluid_discharge', 'nausea', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,vertigo,loss_of_voice,sore_throat,thick_nasal_discharge,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['vertigo', 'loss_of_voice', 'sore_throat', 'thick_nasal_discharge', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Allergic Rhinitis,ear_pain,ear_pain,nasal_irritation,disturbed_sleep,irritability,breathing_difficulty,postnasal_drip,loss_of_smell,"['ear_pain', 'ear_pain', 'nasal_irritation', 'disturbed_sleep', 'irritability', 'breathing_difficulty', 'postnasal_drip', 'loss_of_smell']"
Laryngitis,nasal_congestion,loss_of_voice,nasal_irritation,facial_pain,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['nasal_congestion', 'loss_of_voice', 'nasal_irritation', 'facial_pain', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Sinusitis,nosebleeds,difficulty_swallowing,nasal_irritation,fluid_discharge,nausea,breathing_difficulty,headache,loss_of_smell,"['nosebleeds', 'difficulty_swallowing', 'nasal_irritation', 'fluid_discharge', 'nausea', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Tonsillitis,nasal_congestion,loss_of_voice,swelling_ear_canal,ear_fullness,nausea,vomiting,postnasal_drip,loss_of_smell,"['nasal_congestion', 'loss_of_voice', 'swelling_ear_canal', 'ear_fullness', 'nausea', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Sinusitis,ringing_in_ears,loss_of_voice,fever,dry_cough,snoring,postnasal_drip,ear_tugging,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'fever', 'dry_cough', 'snoring', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Laryngitis,hoarseness,tinnitus,facial_pain,pus_discharge,irritability,postnasal_drip,loss_of_balance,loss_of_smell,"['hoarseness', 'tinnitus', 'facial_pain', 'pus_discharge', 'irritability', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Laryngitis,sneezing,fever,facial_pain,thick_nasal_discharge,red_tonsils,white_patches_throat,headache,loss_of_smell,"['sneezing', 'fever', 'facial_pain', 'thick_nasal_discharge', 'red_tonsils', 'white_patches_throat', 'headache', 'loss_of_smell']"
Sinusitis,sneezing,loss_of_voice,facial_pain,dry_cough,nasal_congestion,breathing_difficulty,itchy_throat,loss_of_smell,"['sneezing', 'loss_of_voice', 'facial_pain', 'dry_cough', 'nasal_congestion', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Tinnitus,nasal_congestion,recurrent_sinus_infections,itchy_nose,disturbed_sleep,irritability,redness_ear_canal,ear_tugging,loss_of_smell,"['nasal_congestion', 'recurrent_sinus_infections', 'itchy_nose', 'disturbed_sleep', 'irritability', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,runny_nose,facial_pain,disturbed_sleep,throat_irritation,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'runny_nose', 'facial_pain', 'disturbed_sleep', 'throat_irritation', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Otitis Media,nasal_obstruction,tinnitus,swelling_ear_canal,thick_nasal_discharge,nasal_congestion,breathing_difficulty,itchy_throat,loss_of_smell,"['nasal_obstruction', 'tinnitus', 'swelling_ear_canal', 'thick_nasal_discharge', 'nasal_congestion', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,hoarseness,ear_pain,hearing_difficulty,watery_eyes,fever,redness_ear_canal,ear_tugging,loss_of_smell,"['hoarseness', 'ear_pain', 'hearing_difficulty', 'watery_eyes', 'fever', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Otitis Externa,ear_pain,runny_nose,hearing_difficulty,dry_cough,fever,breathing_difficulty,headache,loss_of_smell,"['ear_pain', 'runny_nose', 'hearing_difficulty', 'dry_cough', 'fever', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Allergic Rhinitis,nasal_congestion,runny_nose,facial_pain,thick_nasal_discharge,nasal_congestion,fatigue,postnasal_drip,loss_of_smell,"['nasal_congestion', 'runny_nose', 'facial_pain', 'thick_nasal_discharge', 'nasal_congestion', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Tonsillitis,vertigo,loss_of_voice,nasal_irritation,blood_in_nasal_discharge,nasal_congestion,loss_of_balance,ear_tugging,loss_of_smell,"['vertigo', 'loss_of_voice', 'nasal_irritation', 'blood_in_nasal_discharge', 'nasal_congestion', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Epistaxis,nosebleeds,difficulty_swallowing,facial_pain,watery_eyes,nasal_congestion,loss_of_balance,ear_tugging,loss_of_smell,"['nosebleeds', 'difficulty_swallowing', 'facial_pain', 'watery_eyes', 'nasal_congestion', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Tinnitus,vertigo,recurrent_sinus_infections,swelling_ear_canal,swollen_lymph_nodes,throat_irritation,loss_of_balance,ear_tugging,loss_of_smell,"['vertigo', 'recurrent_sinus_infections', 'swelling_ear_canal', 'swollen_lymph_nodes', 'throat_irritation', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Laryngitis,nasal_congestion,difficulty_swallowing,fever,ear_fullness,hearing_difficulty,redness_ear_canal,loss_of_balance,loss_of_smell,"['nasal_congestion', 'difficulty_swallowing', 'fever', 'ear_fullness', 'hearing_difficulty', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,runny_nose,facial_pain,disturbed_sleep,throat_irritation,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'runny_nose', 'facial_pain', 'disturbed_sleep', 'throat_irritation', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,sore_throat,headache,itchy_nose,dry_cough,snoring,loss_of_balance,itchy_throat,loss_of_smell,"['sore_throat', 'headache', 'itchy_nose', 'dry_cough', 'snoring', 'loss_of_balance', 'itchy_throat', 'loss_of_smell']"
Sinusitis,vertigo,buzzing_in_ears,nasal_irritation,fluid_discharge,snoring,white_patches_throat,itchy_throat,loss_of_smell,"['vertigo', 'buzzing_in_ears', 'nasal_irritation', 'fluid_discharge', 'snoring', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Otitis Externa,nasal_obstruction,runny_nose,facial_pain,swollen_lymph_nodes,irritability,redness_ear_canal,postnasal_drip,loss_of_smell,"['nasal_obstruction', 'runny_nose', 'facial_pain', 'swollen_lymph_nodes', 'irritability', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,sore_throat,difficulty_swallowing,nasal_irritation,ear_fullness,nasal_congestion,vomiting,postnasal_drip,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'nasal_irritation', 'ear_fullness', 'nasal_congestion', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,runny_nose,facial_pain,disturbed_sleep,throat_irritation,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'runny_nose', 'facial_pain', 'disturbed_sleep', 'throat_irritation', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Epistaxis,ear_pain,loss_of_voice,hearing_loss,blood_in_nasal_discharge,snoring,vomiting,loss_of_balance,loss_of_smell,"['ear_pain', 'loss_of_voice', 'hearing_loss', 'blood_in_nasal_discharge', 'snoring', 'vomiting', 'loss_of_balance', 'loss_of_smell']"
Epistaxis,sneezing,difficulty_swallowing,headache,blood_in_nasal_discharge,throat_irritation,white_patches_throat,headache,loss_of_smell,"['sneezing', 'difficulty_swallowing', 'headache', 'blood_in_nasal_discharge', 'throat_irritation', 'white_patches_throat', 'headache', 'loss_of_smell']"
Meniere’s Disease,nasal_congestion,runny_nose,sore_throat,fluid_discharge,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['nasal_congestion', 'runny_nose', 'sore_throat', 'fluid_discharge', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Tonsillitis,ear_pain,crusting_in_nose,swelling_ear_canal,disturbed_sleep,snoring,redness_ear_canal,postnasal_drip,loss_of_smell,"['ear_pain', 'crusting_in_nose', 'swelling_ear_canal', 'disturbed_sleep', 'snoring', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Otitis Externa,sore_throat,buzzing_in_ears,headache,fluid_discharge,nasal_congestion,breathing_difficulty,ear_tugging,loss_of_smell,"['sore_throat', 'buzzing_in_ears', 'headache', 'fluid_discharge', 'nasal_congestion', 'breathing_difficulty', 'ear_tugging', 'loss_of_smell']"
Deviated Septum,nasal_congestion,crusting_in_nose,swelling_ear_canal,watery_eyes,irritability,white_patches_throat,headache,loss_of_smell,"['nasal_congestion', 'crusting_in_nose', 'swelling_ear_canal', 'watery_eyes', 'irritability', 'white_patches_throat', 'headache', 'loss_of_smell']"
Tinnitus,nasal_congestion,runny_nose,facial_pain,watery_eyes,nausea,white_patches_throat,ear_tugging,loss_of_smell,"['nasal_congestion', 'runny_nose', 'facial_pain', 'watery_eyes', 'nausea', 'white_patches_throat', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,ear_pain,fever,facial_pain,facial_pain,nausea,vomiting,itchy_throat,loss_of_smell,"['ear_pain', 'fever', 'facial_pain', 'facial_pain', 'nausea', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Otitis Externa,vertigo,fever,sore_throat,ear_fullness,hearing_difficulty,breathing_difficulty,itchy_throat,loss_of_smell,"['vertigo', 'fever', 'sore_throat', 'ear_fullness', 'hearing_difficulty', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Otitis Externa,ringing_in_ears,crusting_in_nose,itchy_nose,watery_eyes,red_tonsils,redness_ear_canal,itchy_throat,loss_of_smell,"['ringing_in_ears', 'crusting_in_nose', 'itchy_nose', 'watery_eyes', 'red_tonsils', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Tinnitus,nasal_congestion,recurrent_sinus_infections,itchy_nose,disturbed_sleep,irritability,redness_ear_canal,ear_tugging,loss_of_smell,"['nasal_congestion', 'recurrent_sinus_infections', 'itchy_nose', 'disturbed_sleep', 'irritability', 'redness_ear_canal', 'ear_tugging', 'loss_of_smell']"
Deviated Septum,vertigo,difficulty_swallowing,itchy_nose,pus_discharge,nasal_congestion,redness_ear_canal,itchy_throat,loss_of_smell,"['vertigo', 'difficulty_swallowing', 'itchy_nose', 'pus_discharge', 'nasal_congestion', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Deviated Septum,ear_itching,recurrent_sinus_infections,nasal_irritation,disturbed_sleep,irritability,loss_of_balance,ear_tugging,loss_of_smell,"['ear_itching', 'recurrent_sinus_infections', 'nasal_irritation', 'disturbed_sleep', 'irritability', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Meniere’s Disease,sore_throat,buzzing_in_ears,swelling_ear_canal,fluid_discharge,hearing_difficulty,fatigue,headache,loss_of_smell,"['sore_throat', 'buzzing_in_ears', 'swelling_ear_canal', 'fluid_discharge', 'hearing_difficulty', 'fatigue', 'headache', 'loss_of_smell']"
Tonsillitis,nasal_congestion,runny_nose,headache,fluid_discharge,snoring,redness_ear_canal,postnasal_drip,loss_of_smell,"['nasal_congestion', 'runny_nose', 'headache', 'fluid_discharge', 'snoring', 'redness_ear_canal', 'postnasal_drip', 'loss_of_smell']"
Allergic Rhinitis,nasal_congestion,runny_nose,sore_throat,pus_discharge,nausea,redness_ear_canal,loss_of_balance,loss_of_smell,"['nasal_congestion', 'runny_nose', 'sore_throat', 'pus_discharge', 'nausea', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,nasal_obstruction,ear_pain,nasal_irritation,ear_fullness,fever,postnasal_drip,loss_of_balance,loss_of_smell,"['nasal_obstruction', 'ear_pain', 'nasal_irritation', 'ear_fullness', 'fever', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Sinusitis,sneezing,tinnitus,swelling_ear_canal,dry_cough,fever,postnasal_drip,loss_of_balance,loss_of_smell,"['sneezing', 'tinnitus', 'swelling_ear_canal', 'dry_cough', 'fever', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Allergic Rhinitis,nasal_congestion,crusting_in_nose,hearing_difficulty,disturbed_sleep,fever,white_patches_throat,loss_of_balance,loss_of_smell,"['nasal_congestion', 'crusting_in_nose', 'hearing_difficulty', 'disturbed_sleep', 'fever', 'white_patches_throat', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,ear_pain,runny_nose,facial_pain,pus_discharge,fever,vomiting,headache,loss_of_smell,"['ear_pain', 'runny_nose', 'facial_pain', 'pus_discharge', 'fever', 'vomiting', 'headache', 'loss_of_smell']"
Laryngitis,ringing_in_ears,recurrent_sinus_infections,hearing_loss,swollen_lymph_nodes,throat_irritation,breathing_difficulty,itchy_throat,loss_of_smell,"['ringing_in_ears', 'recurrent_sinus_infections', 'hearing_loss', 'swollen_lymph_nodes', 'throat_irritation', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Epistaxis,sneezing,loss_of_voice,sore_throat,swollen_lymph_nodes,snoring,postnasal_drip,headache,loss_of_smell,"['sneezing', 'loss_of_voice', 'sore_throat', 'swollen_lymph_nodes', 'snoring', 'postnasal_drip', 'headache', 'loss_of_smell']"
Allergic Rhinitis,hoarseness,fever,facial_pain,disturbed_sleep,red_tonsils,fatigue,postnasal_drip,loss_of_smell,"['hoarseness', 'fever', 'facial_pain', 'disturbed_sleep', 'red_tonsils', 'fatigue', 'postnasal_drip', 'loss_of_smell']"
Laryngitis,nosebleeds,ear_pain,swelling_ear_canal,blood_in_nasal_discharge,nasal_congestion,white_patches_throat,postnasal_drip,loss_of_smell,"['nosebleeds', 'ear_pain', 'swelling_ear_canal', 'blood_in_nasal_discharge', 'nasal_congestion', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Deviated Septum,nosebleeds,ear_pain,headache,blood_in_nasal_discharge,snoring,postnasal_drip,loss_of_balance,loss_of_smell,"['nosebleeds', 'ear_pain', 'headache', 'blood_in_nasal_discharge', 'snoring', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Allergic Rhinitis,sore_throat,tinnitus,hearing_difficulty,facial_pain,nasal_congestion,breathing_difficulty,postnasal_drip,loss_of_smell,"['sore_throat', 'tinnitus', 'hearing_difficulty', 'facial_pain', 'nasal_congestion', 'breathing_difficulty', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,ear_pain,headache,hearing_difficulty,facial_pain,hearing_difficulty,fatigue,itchy_throat,loss_of_smell,"['ear_pain', 'headache', 'hearing_difficulty', 'facial_pain', 'hearing_difficulty', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Tinnitus,ear_pain,loss_of_voice,fever,pus_discharge,throat_irritation,redness_ear_canal,loss_of_balance,loss_of_smell,"['ear_pain', 'loss_of_voice', 'fever', 'pus_discharge', 'throat_irritation', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Sinusitis,sore_throat,difficulty_swallowing,sore_throat,fluid_discharge,irritability,postnasal_drip,headache,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'sore_throat', 'fluid_discharge', 'irritability', 'postnasal_drip', 'headache', 'loss_of_smell']"
Sinusitis,hoarseness,headache,headache,ear_fullness,hearing_difficulty,redness_ear_canal,loss_of_balance,loss_of_smell,"['hoarseness', 'headache', 'headache', 'ear_fullness', 'hearing_difficulty', 'redness_ear_canal', 'loss_of_balance', 'loss_of_smell']"
Epistaxis,ear_itching,difficulty_swallowing,sore_throat,watery_eyes,red_tonsils,loss_of_balance,headache,loss_of_smell,"['ear_itching', 'difficulty_swallowing', 'sore_throat', 'watery_eyes', 'red_tonsils', 'loss_of_balance', 'headache', 'loss_of_smell']"
Tinnitus,nasal_congestion,runny_nose,fever,pus_discharge,fever,vomiting,postnasal_drip,loss_of_smell,"['nasal_congestion', 'runny_nose', 'fever', 'pus_discharge', 'fever', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,sore_throat,difficulty_swallowing,nasal_irritation,ear_fullness,nasal_congestion,vomiting,postnasal_drip,loss_of_smell,"['sore_throat', 'difficulty_swallowing', 'nasal_irritation', 'ear_fullness', 'nasal_congestion', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Sinusitis,hoarseness,crusting_in_nose,fever,dry_cough,throat_irritation,postnasal_drip,ear_tugging,loss_of_smell,"['hoarseness', 'crusting_in_nose', 'fever', 'dry_cough', 'throat_irritation', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Epistaxis,nasal_obstruction,loss_of_voice,fever,disturbed_sleep,fever,vomiting,headache,loss_of_smell,"['nasal_obstruction', 'loss_of_voice', 'fever', 'disturbed_sleep', 'fever', 'vomiting', 'headache', 'loss_of_smell']"
Laryngitis,nasal_congestion,fever,facial_pain,ear_fullness,nasal_congestion,redness_ear_canal,itchy_throat,loss_of_smell,"['nasal_congestion', 'fever', 'facial_pain', 'ear_fullness', 'nasal_congestion', 'redness_ear_canal', 'itchy_throat', 'loss_of_smell']"
Tonsillitis,vertigo,headache,fever,thick_nasal_discharge,red_tonsils,white_patches_throat,postnasal_drip,loss_of_smell,"['vertigo', 'headache', 'fever', 'thick_nasal_discharge', 'red_tonsils', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Epistaxis,ear_pain,ear_pain,itchy_nose,fluid_discharge,nausea,breathing_difficulty,headache,loss_of_smell,"['ear_pain', 'ear_pain', 'itchy_nose', 'fluid_discharge', 'nausea', 'breathing_difficulty', 'headache', 'loss_of_smell']"
Deviated Septum,nosebleeds,ear_pain,headache,blood_in_nasal_discharge,snoring,postnasal_drip,loss_of_balance,loss_of_smell,"['nosebleeds', 'ear_pain', 'headache', 'blood_in_nasal_discharge', 'snoring', 'postnasal_drip', 'loss_of_balance', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,runny_nose,facial_pain,disturbed_sleep,throat_irritation,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'runny_nose', 'facial_pain', 'disturbed_sleep', 'throat_irritation', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,vertigo,headache,swelling_ear_canal,dry_cough,red_tonsils,breathing_difficulty,itchy_throat,loss_of_smell,"['vertigo', 'headache', 'swelling_ear_canal', 'dry_cough', 'red_tonsils', 'breathing_difficulty', 'itchy_throat', 'loss_of_smell']"
Tinnitus,nasal_obstruction,ear_pain,hearing_loss,thick_nasal_discharge,throat_irritation,loss_of_balance,loss_of_balance,loss_of_smell,"['nasal_obstruction', 'ear_pain', 'hearing_loss', 'thick_nasal_discharge', 'throat_irritation', 'loss_of_balance', 'loss_of_balance', 'loss_of_smell']"
Otitis Media,ear_pain,recurrent_sinus_infections,hearing_difficulty,disturbed_sleep,nasal_congestion,vomiting,ear_tugging,loss_of_smell,"['ear_pain', 'recurrent_sinus_infections', 'hearing_difficulty', 'disturbed_sleep', 'nasal_congestion', 'vomiting', 'ear_tugging', 'loss_of_smell']"
Allergic Rhinitis,nasal_obstruction,headache,headache,pus_discharge,snoring,breathing_difficulty,ear_tugging,loss_of_smell,"['nasal_obstruction', 'headache', 'headache', 'pus_discharge', 'snoring', 'breathing_difficulty', 'ear_tugging', 'loss_of_smell']"
Laryngitis,ear_itching,ear_pain,itchy_nose,watery_eyes,irritability,loss_of_balance,ear_tugging,loss_of_smell,"['ear_itching', 'ear_pain', 'itchy_nose', 'watery_eyes', 'irritability', 'loss_of_balance', 'ear_tugging', 'loss_of_smell']"
Tonsillitis,ringing_in_ears,tinnitus,nasal_irritation,facial_pain,nausea,white_patches_throat,itchy_throat,loss_of_smell,"['ringing_in_ears', 'tinnitus', 'nasal_irritation', 'facial_pain', 'nausea', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Deviated Septum,ringing_in_ears,runny_nose,facial_pain,disturbed_sleep,throat_irritation,vomiting,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'runny_nose', 'facial_pain', 'disturbed_sleep', 'throat_irritation', 'vomiting', 'postnasal_drip', 'loss_of_smell']"
Meniere’s Disease,sore_throat,crusting_in_nose,swelling_ear_canal,watery_eyes,snoring,breathing_difficulty,loss_of_balance,loss_of_smell,"['sore_throat', 'crusting_in_nose', 'swelling_ear_canal', 'watery_eyes', 'snoring', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Otitis Externa,hoarseness,difficulty_swallowing,facial_pain,fluid_discharge,irritability,vomiting,itchy_throat,loss_of_smell,"['hoarseness', 'difficulty_swallowing', 'facial_pain', 'fluid_discharge', 'irritability', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Laryngitis,nasal_congestion,fever,nasal_irritation,facial_pain,fever,fatigue,itchy_throat,loss_of_smell,"['nasal_congestion', 'fever', 'nasal_irritation', 'facial_pain', 'fever', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Otitis Media,hoarseness,loss_of_voice,hearing_loss,swollen_lymph_nodes,nausea,white_patches_throat,postnasal_drip,loss_of_smell,"['hoarseness', 'loss_of_voice', 'hearing_loss', 'swollen_lymph_nodes', 'nausea', 'white_patches_throat', 'postnasal_drip', 'loss_of_smell']"
Epistaxis,ear_itching,tinnitus,swelling_ear_canal,swollen_lymph_nodes,red_tonsils,white_patches_throat,headache,loss_of_smell,"['ear_itching', 'tinnitus', 'swelling_ear_canal', 'swollen_lymph_nodes', 'red_tonsils', 'white_patches_throat', 'headache', 'loss_of_smell']"
Allergic Rhinitis,vertigo,loss_of_voice,facial_pain,fluid_discharge,throat_irritation,postnasal_drip,ear_tugging,loss_of_smell,"['vertigo', 'loss_of_voice', 'facial_pain', 'fluid_discharge', 'throat_irritation', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Tinnitus,nasal_obstruction,ear_pain,hearing_loss,thick_nasal_discharge,throat_irritation,loss_of_balance,loss_of_balance,loss_of_smell,"['nasal_obstruction', 'ear_pain', 'hearing_loss', 'thick_nasal_discharge', 'throat_irritation', 'loss_of_balance', 'loss_of_balance', 'loss_of_smell']"
Tinnitus,sore_throat,tinnitus,fever,blood_in_nasal_discharge,nasal_congestion,postnasal_drip,postnasal_drip,loss_of_smell,"['sore_throat', 'tinnitus', 'fever', 'blood_in_nasal_discharge', 'nasal_congestion', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Tinnitus,vertigo,ear_pain,facial_pain,ear_fullness,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['vertigo', 'ear_pain', 'facial_pain', 'ear_fullness', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
Laryngitis,ear_pain,difficulty_swallowing,hearing_difficulty,ear_fullness,nasal_congestion,white_patches_throat,headache,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'hearing_difficulty', 'ear_fullness', 'nasal_congestion', 'white_patches_throat', 'headache', 'loss_of_smell']"
Meniere’s Disease,vertigo,loss_of_voice,sore_throat,thick_nasal_discharge,nasal_congestion,loss_of_balance,headache,loss_of_smell,"['vertigo', 'loss_of_voice', 'sore_throat', 'thick_nasal_discharge', 'nasal_congestion', 'loss_of_balance', 'headache', 'loss_of_smell']"
Tonsillitis,ear_pain,difficulty_swallowing,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,headache,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Tinnitus,sneezing,loss_of_voice,hearing_loss,ear_fullness,snoring,fatigue,itchy_throat,loss_of_smell,"['sneezing', 'loss_of_voice', 'hearing_loss', 'ear_fullness', 'snoring', 'fatigue', 'itchy_throat', 'loss_of_smell']"
Allergic Rhinitis,ringing_in_ears,loss_of_voice,swelling_ear_canal,blood_in_nasal_discharge,fever,postnasal_drip,postnasal_drip,loss_of_smell,"['ringing_in_ears', 'loss_of_voice', 'swelling_ear_canal', 'blood_in_nasal_discharge', 'fever', 'postnasal_drip', 'postnasal_drip', 'loss_of_smell']"
Deviated Septum,vertigo,recurrent_sinus_infections,swelling_ear_canal,disturbed_sleep,snoring,white_patches_throat,itchy_throat,loss_of_smell,"['vertigo', 'recurrent_sinus_infections', 'swelling_ear_canal', 'disturbed_sleep', 'snoring', 'white_patches_throat', 'itchy_throat', 'loss_of_smell']"
Epistaxis,ear_itching,runny_nose,facial_pain,blood_in_nasal_discharge,nasal_congestion,postnasal_drip,ear_tugging,loss_of_smell,"['ear_itching', 'runny_nose', 'facial_pain', 'blood_in_nasal_discharge', 'nasal_congestion', 'postnasal_drip', 'ear_tugging', 'loss_of_smell']"
Tinnitus,sneezing,buzzing_in_ears,sore_throat,facial_pain,nausea,vomiting,itchy_throat,loss_of_smell,"['sneezing', 'buzzing_in_ears', 'sore_throat', 'facial_pain', 'nausea', 'vomiting', 'itchy_throat', 'loss_of_smell']"
Tonsillitis,ear_pain,difficulty_swallowing,nasal_irritation,swollen_lymph_nodes,fever,redness_ear_canal,headache,loss_of_smell,"['ear_pain', 'difficulty_swallowing', 'nasal_irritation', 'swollen_lymph_nodes', 'fever', 'redness_ear_canal', 'headache', 'loss_of_smell']"
Tinnitus,vertigo,ear_pain,facial_pain,ear_fullness,hearing_difficulty,breathing_difficulty,loss_of_balance,loss_of_smell,"['vertigo', 'ear_pain', 'facial_pain', 'ear_fullness', 'hearing_difficulty', 'breathing_difficulty', 'loss_of_balance', 'loss_of_smell']"
